id	dam	sire
3DD.003D3DB5B8_CX-114_2018	3DD.003BF0593A_CX-118_2016	3DD.003BEF6643_CX-110_2016
3DD.003D3DB5BF_CX-114_2018	3DD.003BF0593A_CX-118_2016	3DD.003BEF6643_CX-110_2016
3DD.003D3DB5CC_CX-114_2018	3DD.003BF0593A_CX-118_2016	3DD.003BEF6643_CX-110_2016
3DD.003D3DB5D7_CX-114_2018	3DD.003BF0593A_CX-118_2016	3DD.003BEF6643_CX-110_2016
3DD.003D3DB5DA_CX-114_2018	3DD.003BF0593A_CX-118_2016	3DD.003BEF6643_CX-110_2016
3DD.003D3DB5DB_CX-114_2018	3DD.003BF0593A_CX-118_2016	3DD.003BEF6643_CX-110_2016
3DD.003D3DB5DD_CX-114_2018	3DD.003BF0593A_CX-118_2016	3DD.003BEF6643_CX-110_2016
3DD.003D3DB5DF_CX-114_2018	3DD.003BF0593A_CX-118_2016	3DD.003BEF6643_CX-110_2016
3DD.003D3DB5E5_CX-114_2018	3DD.003BF0593A_CX-118_2016	3DD.003BEF6643_CX-110_2016
3DD.003D5860E7_CX-96_2018	3DD.003BF0574B_CX-49_2016	3DD.003BF0594E_CX-124_2016
3DD.003D5860E9_CX-96_2018	3DD.003BF0574B_CX-49_2016	3DD.003BF0594E_CX-124_2016
3DD.003D5860F1_CX-96_2018	3DD.003BF0574B_CX-49_2016	3DD.003BF0594E_CX-124_2016
3DD.003D5860F5_CX-96_2018	3DD.003BF0574B_CX-49_2016	3DD.003BF0594E_CX-124_2016
3DD.003D5860F8_CX-96_2018	3DD.003BF0574B_CX-49_2016	3DD.003BF0594E_CX-124_2016
3DD.003D5860FC_CX-96_2018	3DD.003BF0574B_CX-49_2016	3DD.003BF0594E_CX-124_2016
3DD.003D586105_CX-96_2018	3DD.003BF0574B_CX-49_2016	3DD.003BF0594E_CX-124_2016
3DD.003D586106_CX-96_2018	3DD.003BF0574B_CX-49_2016	3DD.003BF0594E_CX-124_2016
3DD.003D586112_CX-96_2018	3DD.003BF0574B_CX-49_2016	3DD.003BF0594E_CX-124_2016
3DD.003D586125_CX-96_2018	3DD.003BF0574B_CX-49_2016	3DD.003BF0594E_CX-124_2016
3DD.003D586128_CX-96_2018	3DD.003BF0574B_CX-49_2016	3DD.003BF0594E_CX-124_2016
3DD.003D586129_CX-96_2018	3DD.003BF0574B_CX-49_2016	3DD.003BF0594E_CX-124_2016
3DD.003D586132_CX-96_2018	3DD.003BF0574B_CX-49_2016	3DD.003BF0594E_CX-124_2016
3DD.003D586134_CX-96_2018	3DD.003BF0574B_CX-49_2016	3DD.003BF0594E_CX-124_2016
3DD.003D58613D_CX-96_2018	3DD.003BF0574B_CX-49_2016	3DD.003BF0594E_CX-124_2016
3DD.003D586144_CX-96_2018	3DD.003BF0574B_CX-49_2016	3DD.003BF0594E_CX-124_2016
3DD.003D586617_CX-96_2018	3DD.003BF0574B_CX-49_2016	3DD.003BF0594E_CX-124_2016
3DD.003D58661A_CX-96_2018	3DD.003BF0574B_CX-49_2016	3DD.003BF0594E_CX-124_2016
3DD.003D586621_CX-96_2018	3DD.003BF0574B_CX-49_2016	3DD.003BF0594E_CX-124_2016
3DD.003D58662D_CX-96_2018	3DD.003BF0574B_CX-49_2016	3DD.003BF0594E_CX-124_2016
3DD.003D58663A_CX-96_2018	3DD.003BF0574B_CX-49_2016	3DD.003BF0594E_CX-124_2016
3DD.003D586645_CX-96_2018	3DD.003BF0574B_CX-49_2016	3DD.003BF0594E_CX-124_2016
3DD.003D586649_CX-96_2018	3DD.003BF0574B_CX-49_2016	3DD.003BF0594E_CX-124_2016
3DD.003D586650_CX-96_2018	3DD.003BF0574B_CX-49_2016	3DD.003BF0594E_CX-124_2016
3DD.003D3DB582_CX-48_2018	3DD.003BEF6769_CX-118_2016	3DD.003BEF644F_CX-19_2016
3DD.003D3DB584_CX-48_2018	3DD.003BEF6769_CX-118_2016	3DD.003BEF644F_CX-19_2016
3DD.003D3DB587_CX-48_2018	3DD.003BEF6769_CX-118_2016	3DD.003BEF644F_CX-19_2016
3DD.003D3DB58E_CX-48_2018	3DD.003BEF6769_CX-118_2016	3DD.003BEF644F_CX-19_2016
3DD.003D3DB591_CX-48_2018	3DD.003BEF6769_CX-118_2016	3DD.003BEF644F_CX-19_2016
3DD.003D3DB597_CX-48_2018	3DD.003BEF6769_CX-118_2016	3DD.003BEF644F_CX-19_2016
3DD.003D3DB599_CX-48_2018	3DD.003BEF6769_CX-118_2016	3DD.003BEF644F_CX-19_2016
3DD.003D3DB59A_CX-48_2018	3DD.003BEF6769_CX-118_2016	3DD.003BEF644F_CX-19_2016
3DD.003D3DB59B_CX-48_2018	3DD.003BEF6769_CX-118_2016	3DD.003BEF644F_CX-19_2016
3DD.003D3DB59D_CX-48_2018	3DD.003BEF6769_CX-118_2016	3DD.003BEF644F_CX-19_2016
3DD.003D3DB5A1_CX-48_2018	3DD.003BEF6769_CX-118_2016	3DD.003BEF644F_CX-19_2016
3DD.003D3DB5A2_CX-48_2018	3DD.003BEF6769_CX-118_2016	3DD.003BEF644F_CX-19_2016
3DD.003D3DB5A3_CX-48_2018	3DD.003BEF6769_CX-118_2016	3DD.003BEF644F_CX-19_2016
3DD.003D3DB5A5_CX-48_2018	3DD.003BEF6769_CX-118_2016	3DD.003BEF644F_CX-19_2016
3DD.003D3DB5AB_CX-48_2018	3DD.003BEF6769_CX-118_2016	3DD.003BEF644F_CX-19_2016
3DD.003D3DB5AE_CX-48_2018	3DD.003BEF6769_CX-118_2016	3DD.003BEF644F_CX-19_2016
3DD.003D3DB5B0_CX-48_2018	3DD.003BEF6769_CX-118_2016	3DD.003BEF644F_CX-19_2016
3DD.003D3DB5C4_CX-48_2018	3DD.003BEF6769_CX-118_2016	3DD.003BEF644F_CX-19_2016
3DD.003D3DB5C7_CX-48_2018	3DD.003BEF6769_CX-118_2016	3DD.003BEF644F_CX-19_2016
3DD.003D3DB5C8_CX-48_2018	3DD.003BEF6769_CX-118_2016	3DD.003BEF644F_CX-19_2016
3DD.003D3DB5D8_CX-48_2018	3DD.003BEF6769_CX-118_2016	3DD.003BEF644F_CX-19_2016
3DD.003D3DB5E1_CX-48_2018	3DD.003BEF6769_CX-118_2016	3DD.003BEF644F_CX-19_2016
3DD.003D3DB5E2_CX-48_2018	3DD.003BEF6769_CX-118_2016	3DD.003BEF644F_CX-19_2016
3DD.003D3DB5E4_CX-48_2018	3DD.003BEF6769_CX-118_2016	3DD.003BEF644F_CX-19_2016
3DD.003D3DB80F_CX-145_2018	3DD.003BEF64FC_CX-29_2016	3DD.003BF05923_CX-124_2016
3DD.003D3DB839_CX-145_2018	3DD.003BEF64FC_CX-29_2016	3DD.003BF05923_CX-124_2016
3DD.003D586146_CX-145_2018	3DD.003BEF64FC_CX-29_2016	3DD.003BF05923_CX-124_2016
3DD.003D586147_CX-145_2018	3DD.003BEF64FC_CX-29_2016	3DD.003BF05923_CX-124_2016
3DD.003D586148_CX-145_2018	3DD.003BEF64FC_CX-29_2016	3DD.003BF05923_CX-124_2016
3DD.003D586161_CX-145_2018	3DD.003BEF64FC_CX-29_2016	3DD.003BF05923_CX-124_2016
3DD.003D586164_CX-145_2018	3DD.003BEF64FC_CX-29_2016	3DD.003BF05923_CX-124_2016
3DD.003D58616B_CX-145_2018	3DD.003BEF64FC_CX-29_2016	3DD.003BF05923_CX-124_2016
3DD.003D586172_CX-145_2018	3DD.003BEF64FC_CX-29_2016	3DD.003BF05923_CX-124_2016
3DD.003D586175_CX-145_2018	3DD.003BEF64FC_CX-29_2016	3DD.003BF05923_CX-124_2016
3DD.003D586181_CX-145_2018	3DD.003BEF64FC_CX-29_2016	3DD.003BF05923_CX-124_2016
3DD.003D58618B_CX-145_2018	3DD.003BEF64FC_CX-29_2016	3DD.003BF05923_CX-124_2016
3DD.003D58618E_CX-145_2018	3DD.003BEF64FC_CX-29_2016	3DD.003BF05923_CX-124_2016
3DD.003D586192_CX-145_2018	3DD.003BEF64FC_CX-29_2016	3DD.003BF05923_CX-124_2016
3DD.003D586194_CX-145_2018	3DD.003BEF64FC_CX-29_2016	3DD.003BF05923_CX-124_2016
3DD.003D586198_CX-145_2018	3DD.003BEF64FC_CX-29_2016	3DD.003BF05923_CX-124_2016
3DD.003D58619E_CX-145_2018	3DD.003BEF64FC_CX-29_2016	3DD.003BF05923_CX-124_2016
3DD.003D5861A0_CX-145_2018	3DD.003BEF64FC_CX-29_2016	3DD.003BF05923_CX-124_2016
3DD.003D5861A1_CX-145_2018	3DD.003BEF64FC_CX-29_2016	3DD.003BF05923_CX-124_2016
3DD.003D5861A3_CX-145_2018	3DD.003BEF64FC_CX-29_2016	3DD.003BF05923_CX-124_2016
3DD.003D5861A5_CX-145_2018	3DD.003BEF64FC_CX-29_2016	3DD.003BF05923_CX-124_2016
3DD.003D5861A6_CX-145_2018	3DD.003BEF64FC_CX-29_2016	3DD.003BF05923_CX-124_2016
3DD.003D5860E5_CX-123_2018	3DD.003BEF64DF_CX-27_2016	3DD.003BEF673F_CX-117_2016
3DD.003D5860EC_CX-123_2018	3DD.003BEF64DF_CX-27_2016	3DD.003BEF673F_CX-117_2016
3DD.003D5860FA_CX-123_2018	3DD.003BEF64DF_CX-27_2016	3DD.003BEF673F_CX-117_2016
3DD.003D586100_CX-123_2018	3DD.003BEF64DF_CX-27_2016	3DD.003BEF673F_CX-117_2016
3DD.003D586103_CX-123_2018	3DD.003BEF64DF_CX-27_2016	3DD.003BEF673F_CX-117_2016
3DD.003D586107_CX-123_2018	3DD.003BEF64DF_CX-27_2016	3DD.003BEF673F_CX-117_2016
3DD.003D58610A_CX-123_2018	3DD.003BEF64DF_CX-27_2016	3DD.003BEF673F_CX-117_2016
3DD.003D58610C_CX-123_2018	3DD.003BEF64DF_CX-27_2016	3DD.003BEF673F_CX-117_2016
3DD.003D58610F_CX-123_2018	3DD.003BEF64DF_CX-27_2016	3DD.003BEF673F_CX-117_2016
3DD.003D586116_CX-123_2018	3DD.003BEF64DF_CX-27_2016	3DD.003BEF673F_CX-117_2016
3DD.003D58611B_CX-123_2018	3DD.003BEF64DF_CX-27_2016	3DD.003BEF673F_CX-117_2016
3DD.003D586120_CX-123_2018	3DD.003BEF64DF_CX-27_2016	3DD.003BEF673F_CX-117_2016
3DD.003D586123_CX-123_2018	3DD.003BEF64DF_CX-27_2016	3DD.003BEF673F_CX-117_2016
3DD.003D58612B_CX-123_2018	3DD.003BEF64DF_CX-27_2016	3DD.003BEF673F_CX-117_2016
3DD.003D58612C_CX-123_2018	3DD.003BEF64DF_CX-27_2016	3DD.003BEF673F_CX-117_2016
3DD.003D58612E_CX-123_2018	3DD.003BEF64DF_CX-27_2016	3DD.003BEF673F_CX-117_2016
3DD.003D58612F_CX-123_2018	3DD.003BEF64DF_CX-27_2016	3DD.003BEF673F_CX-117_2016
3DD.003D586131_CX-123_2018	3DD.003BEF64DF_CX-27_2016	3DD.003BEF673F_CX-117_2016
