id_tag,dam_tag,sire_tag
3DD.003BEF2848_2015,3DD.003BA5B0DF_2013,384.1B79713B1D_2013
3DD.003BEF285F_2015,3DD.003BA5B0DF_2013,384.1B79713B1D_2013
3DD.003BEF28F5_2015,3DD.003BA5B0DC_2013,3DD.003BA5B062_2013
3DD.003BEF290C_2015,3DD.003BA5B0DC_2013,3DD.003BA5B062_2013
3DD.003BEF290E_2015,384.1B7971416F_2013,384.1B79713F7C_2013
3DD.003BEF291B_2015,3DD.003BA5B086_2013,384.1B79713D67_2013
3DD.003BEF294C_2015,3DD.003BA5B086_2013,384.1B79713D67_2013
3DD.003BEF29B8_2015,3DD003BA5BOCB_2013,384.1B797141C6_2013
3DD.003BEF29DD_2015,3DD003BA5BOCB_2013,384.1B797141C6_2013
3DD.003BEF2AA0_2016,3DD.003BDCFB59_2014,3DD.003BDCFCE6_2014
3DD.003BEF2AF6_2016,3DD.003BDCFC36_2014,3DD.003BDCFC67_2014
3DD.003BEF2AF8_2016,3DD.003BDCFC36_2014,3DD.003BDCFC67_2014
3DD.003BEF2B06_2016,3DD.003BDCFC09_2014,3DD.003BDCFA3A_2014
3DD.003BEF2B3D_2016,3DD.003BDCFB59_2014,3DD.003BDCFCE6_2014
3DD.003BEF638E_2016,3DD.003BDCFB05_2014,3DD.003BDCFC92_2014
3DD.003BEF644F_2016,3DD.003BDCFB72_2014,3DD.003BDCFA40_2014
3DD.003BEF64C5_2016,384.1B796F6B81_2014,3DD.003BDCFA42_2014
3DD.003BEF64DF_2016,3DD.003BDCFC05_2014,384.1B796F6407_2014
3DD.003BEF64FC_2016,3DD.003BDCFC0F_2014,3DD.003BDCFBEB_2014
